B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,label
2050.5,6696.0,5936.5,2354.0,2632.0,2915.0,3221.5,3451.5,3759.5,3892.0,4398.0,3940.0,tambang
1649.5,6062.0,5265.0,1671.0,1801.0,1960.0,2370.0,2584.0,2947.5,2937.5,3580.0,3173.5,tambang
1405.0,6188.0,5192.5,1857.0,2229.0,2333.0,2920.0,3058.0,3327.5,3282.0,3990.0,3220.0,tambang
1454.5,6337.5,5569.5,1888.0,2238.0,2317.0,2926.0,3120.0,3385.0,3294.0,3941.5,3175.0,tambang
1315.5,4601.0,3742.0,1451.0,1595.0,1823.0,2032.0,2237.5,2494.0,2530.5,3055.0,2597.0,tambang
1350.5,5587.5,4859.5,1642.0,1803.0,2126.0,2253.5,2439.5,2710.5,3037.0,3350.5,2625.0,tambang
1390.0,4890.0,4356.5,1514.0,1720.0,1969.0,2172.5,2282.5,2526.5,2534.0,2946.0,2723.5,tambang
1789.5,5694.0,4976.5,1839.0,2025.0,2318.0,2559.0,2715.0,3013.5,3023.0,3596.5,3035.0,tambang
1795.0,6264.0,5577.5,2068.0,2340.0,2657.0,2870.5,3073.0,3339.0,3543.5,3796.0,3410.0,tambang
1062.0,4276.0,3526.5,1281.0,1223.0,1494.0,1425.5,1584.5,1868.5,2206.0,2243.5,2323.0,tambang
1238.0,4736.0,3877.5,1336.0,1422.0,1594.0,1706.5,1871.5,2120.5,2414.0,2624.5,2419.0,tambang
1009.5,4051.5,3333.0,1025.0,1280.0,1435.0,1718.5,1905.0,2032.5,2051.0,2483.0,2196.5,tambang
1293.5,5060.0,4421.5,1480.0,1579.0,1835.0,2147.5,2330.0,2544.0,2397.5,3125.0,2770.5,tambang
1432.5,5147.5,4065.5,2368.0,2584.0,2937.0,2401.5,2789.0,3083.5,3906.5,3711.5,3248.5,tambang
1379.0,4795.0,4057.5,1621.0,1770.0,2046.0,2058.5,2249.5,2370.0,2770.5,2864.0,2539.0,tambang
1481.0,5635.0,4799.0,1820.0,2005.0,2304.0,2327.0,2472.0,2761.0,3156.5,3328.0,2787.0,tambang
862.0,4870.5,4604.0,2391.0,2612.0,2923.0,2100.0,2184.0,2438.0,3933.5,2893.5,2734.0,tambang
954.0,5021.5,4496.5,1526.0,1618.0,1801.0,1868.0,1982.5,2228.0,2578.0,2785.5,2256.0,tambang
1085.5,4034.5,3597.5,1205.0,1202.0,1447.0,1771.5,1872.5,2063.0,1953.5,2501.5,2229.0,tambang
1093.5,2872.0,2575.0,823.0,955.5,1073.0,1068.0,1211.5,1306.5,1629.0,1592.0,3461.0,tambang
1166.0,4840.5,4263.0,1668.0,1869.0,2040.0,1994.0,2214.5,2431.0,2766.0,2943.5,2732.5,tambang
1166.0,4169.5,3425.0,1445.0,1719.0,1848.0,1791.0,2344.0,2548.5,2594.0,3091.5,2732.5,tambang
